timestamp,Altiva Hybrid Long-Short Fund,Magnum Hybrid Long Short Fund,iSIF Equity Ex-Top 100 Long-Short Fund,iSIF Hybrid Long-Short Fund,iSIF Active Asset Allocator Long-Short Fund,Qsif Equity Long-Short Fund,RedHex Hybrid Long-Short Fund,Titanium Hybrid Long-Short Fund,Altiva Equity Ex-Top 100 Long-Short Fund,Diviniti Equity Long Short Fund,DynaSIF Equity Long-Short Fund,iSIF Equity Long-Short Fund,Qsif Equity Ex-Top 100 Long-Short Fund,Titanium Equity Long-Short Fund,DynaSIF Active Asset Allocator Long-Short Fund,Qsif Hybrid Long-Short Fund,Arthaya Equity Long Short Fund,Arudha Hybrid Long-Short Fund,Arudha Equity Long-Short Fund,Apex Hybrid Long-Short Fund,Qsif Active Asset Allocator Long-Short Fund,WSIF Equity Long-Short Fund,WSIF Equity Ex-Top 100 Long-Short Fund,Sapphire Equity Long-Short SIF,Qsif Sector Rotation Long-Short Fund,Platinum Hybrid Long-Short Fund,DynaSIF Equity Ex-Top 100 Long-Short Fund,Infinity Hybrid Long-Short Fund
2026-02-19 00:00:00+00:00,10.3884,10.2342,9.94,10.0018,,9.8179,,10.1002,,983.6339,,,9.4375,,,9.9067,,,,,,,,,,,,
2026-02-20 00:00:00+00:00,10.3917,10.2396,9.96,10.0226,,9.8215,,10.1285,,987.1805,,,9.4294,,,9.8872,,10.064,,,,,,,,,,
2026-02-23 00:00:00+00:00,10.3824,10.2566,9.98,10.0442,,9.8499,,10.1625,,991.1304,,,9.3741,,,9.9088,,10.071,,,,,,,,,,
2026-02-24 00:00:00+00:00,10.3699,10.2357,9.9,9.9775,,9.8367,,10.1419,,984.6694,,,9.3365,,,9.8886,,10.07,,,,,,,,,,
2026-02-25 00:00:00+00:00,10.3797,10.2486,9.95,10.0275,,9.8703,,10.1576,,984.8663,,,9.3818,,,9.8957,,10.076,,,,,,,,,,
2026-02-26 00:00:00+00:00,10.3894,10.2499,9.97,10.0249,,9.8908,,10.1701,,985.8724,,,9.4049,,,9.9231,,10.078,,,,,,,,,,
2026-02-27 00:00:00+00:00,10.3801,10.2146,9.87,9.9585,,9.8056,,10.1052,,977.6434,10.0072,,9.3161,,,9.9368,,10.078,,,,,,,,,,
2026-03-02 00:00:00+00:00,10.3673,10.1877,9.73,9.8495,,9.7281,,10.0279,,970.2352,10.0103,,9.184,,,9.9318,,10.083,,,,,,,,,,
2026-03-04 00:00:00+00:00,10.3278,10.1291,9.61,9.7529,,9.5767,,9.9253,,964.6415,10.0036,,9.0669,,,9.8954,,10.077,,,,,,,,,,
2026-03-05 00:00:00+00:00,10.361,10.1575,9.69,9.8315,,9.586,,9.97,,966.7974,10.0325,,9.0742,,,9.8798,,10.081,,,,,,,,,,
2026-03-06 00:00:00+00:00,10.3417,10.1458,9.6,9.7451,,9.4911,,9.9065,,964.4974,9.994,,9.0203,,,9.8426,,10.086,,,,,,,,,,
2026-03-09 00:00:00+00:00,10.2976,10.1103,9.47,9.6143,,9.3712,,9.8043,,960.3937,9.9105,,8.9149,,,9.8408,,10.076,,,,,,,,,,
2026-03-10 00:00:00+00:00,10.3334,10.1229,9.56,9.7216,,9.5143,,9.8769,,960.6158,9.9903,,9.0657,,,9.9007,,10.077,,,,,,,,,,
2026-03-11 00:00:00+00:00,10.304,10.1104,9.47,9.6146,,9.417,,9.8115,,959.1716,9.9227,,9.0188,,,9.8845,,10.091,,,,,,,,,,
