mfId,name,rank,score,evidence_qualified,data_days,subsector,cagr_1y,cagr_3y,cagr_5y,hybrid_xirr_p50,hybrid_xirr_p25,hybrid_xirr_recent,hybrid_hit_bench,hybrid_hit_peer,hybrid_window_n,up_recovery_capture,bull_recovery_excess,momentum_3m_rel,momentum_6m_rel,overheat_penalty,max_drawdown_2y,ulcer_2y,down_capture,bear_excess,recovery_weeks,tail_loss_1y,volatility_1y,current_drawdown,factor_alpha,factor_ir,alpha_stability,market_beta,small_mid_tilt,hybrid_score,recovery_score,resilience_score,active_skill_score,confidence_score,history_confidence,capacity_multiplier,xirr_coverage,aum,data_weeks,history_years,latest_nav_date,market_regime
M_IDFUM,Bandhan Multi Cap Fund,44,49.26,True,1754,Multi Cap Fund,1.34,12.97,13.23,18.4,7.97,5.45,100.0,60.61,33.0,1.01,0.49,0.53,4.26,0.0,-18.3,7.12,0.86,2.7,70.0,-2.99,12.07,-3.22,1.75,0.58,1.23,0.71,0.23,57.97,42.33,52.4,49.55,87.01,0.9,1.0,1.0,3074.12,252,4.8,2026-09-21,sideways
M_JMUU,JM Flexi Cap Fund,45,48.93,True,1826,Flexi Cap Fund,1.07,15.14,15.46,22.27,4.88,2.32,69.44,61.11,36.0,1.2,14.2,3.56,8.46,0.0,-22.58,11.31,0.95,-3.05,26.0,-2.87,13.13,-7.19,3.05,0.66,0.1,1.41,0.0,44.78,80.4,42.95,43.86,91.61,0.9,1.0,1.0,5290.61,262,5.0,2026-09-21,sideways
M_FREE,Franklin India Flexi Cap Fund,46,48.82,True,1826,Flexi Cap Fund,-3.74,11.23,11.97,19.63,9.31,1.36,86.11,72.22,36.0,1.03,2.49,-0.55,-2.18,0.0,-16.38,6.79,0.89,3.56,39.0,-2.65,11.99,-6.78,2.18,0.65,0.5,0.47,0.1,57.74,39.72,53.33,46.68,91.61,0.9,1.0,1.0,19384.82,262,5.0,2026-09-21,sideways
M_INUI,Groww Value Fund,47,48.37,True,1826,Value Fund,0.11,12.9,11.48,17.11,8.59,5.68,100.0,33.33,36.0,0.98,-1.43,1.15,3.38,0.0,-16.52,6.22,0.83,5.79,17.0,-2.7,12.03,-2.89,3.32,0.89,0.81,1.06,-0.13,56.91,34.57,69.34,54.37,89.65,0.9,0.93,1.0,74.47,262,5.0,2026-09-21,sideways
M_ITFF,ITI Flexi Cap Fund,48,48.03,True,1312,Flexi Cap Fund,12.08,19.48,,12.09,6.77,12.3,100.0,94.74,19.0,1.17,11.16,5.24,13.12,0.17,-21.44,7.35,0.88,-3.47,44.0,-2.79,13.23,-1.33,6.51,1.68,1.38,0.9,0.24,53.28,80.0,54.02,84.14,76.77,0.78,1.0,0.79,1588.13,189,3.59,2026-09-21,sideways
M_UNOY,Union Value Fund,49,47.68,True,1826,Value Fund,-0.16,12.12,12.52,17.12,9.15,5.4,100.0,58.33,36.0,1.04,3.04,-0.96,-0.61,0.0,-17.87,6.31,0.88,1.02,18.0,-2.76,12.52,-4.24,1.74,0.42,1.33,0.98,0.05,61.26,41.6,60.69,45.13,89.65,0.9,0.93,1.0,395.49,262,5.0,2026-09-21,sideways
M_SBIUC,SBI Multicap Fund,50,47.24,True,1658,Multi Cap Fund,-0.62,13.26,12.25,19.68,6.54,4.86,86.67,60.0,30.0,0.84,-10.97,2.22,4.09,0.0,-15.11,5.69,0.7,7.81,17.0,-2.95,11.57,-2.73,2.57,0.57,0.67,0.29,0.33,49.76,24.34,67.21,52.69,86.49,0.9,1.0,1.0,24524.75,238,4.54,2026-09-21,sideways
M_HSUA,HSBC Multi Cap Fund,51,47.23,True,1330,Multi Cap Fund,8.02,18.97,,11.58,7.01,10.49,100.0,85.0,20.0,1.21,14.0,4.32,10.47,0.0,-20.07,6.86,0.91,-2.04,35.0,-2.68,13.34,-1.93,4.65,1.09,1.27,1.1,0.33,50.72,84.21,55.64,71.5,77.73,0.78,1.0,0.83,6502.58,191,3.64,2026-09-21,sideways
M_BANK,Bank of India Multi Cap Fund,52,46.82,True,1298,Multi Cap Fund,11.51,18.23,,11.24,8.04,12.33,100.0,88.89,18.0,1.12,7.97,3.13,8.6,0.0,-20.31,6.64,0.85,-2.59,35.0,-2.83,11.72,-1.67,4.38,1.1,1.89,0.61,0.48,54.93,71.95,60.26,77.46,75.81,0.78,1.0,0.75,1335.04,187,3.55,2026-09-21,sideways
M_QUTO,Quant Flexi Cap Fund,53,46.18,True,1826,Flexi Cap Fund,8.35,16.1,14.86,16.96,5.99,8.52,72.22,58.33,36.0,1.14,9.87,-0.17,11.76,0.0,-24.71,12.34,0.98,-0.64,69.0,-2.67,14.76,-2.36,2.41,0.39,0.04,3.86,-0.85,44.78,72.14,42.26,35.98,91.61,0.9,1.0,1.0,7363.92,262,5.0,2026-09-21,sideways
