mfId,name,rank,score,data_days,subsector,cagr_1y,cagr_3y,cagr_5y,volatility,sharpe,alpha,beta,info_ratio,bayes_shrunk_alpha,bayes_shrink_lambda,block_alpha_n,alpha_pos_frac_12m,alpha_beat_peer_frac_12m,rolling_12m_n,forward_alpha_24m,regime_capture_spread,bear_correction_excess,recovery_half_life,hybrid_xirr_p50,hybrid_xirr_p25,hybrid_xirr_recent,hybrid_xirr_hit_bench,hybrid_xirr_hit_peer,hybrid_xirr_n,max_drawdown,ulcer_perf_index,gain_to_pain,tail_ratio,current_drawdown,vol_drag_adj_return,active_divergence,active_skill_signal,beta_stability,aum_capacity_mult,p1_score,p2_score,p3_score,p4_score,p5_score,confidence,aum,data_weeks
M_NIEV,Nippon India Value Fund,42,57.26,4943,Value Fund,0.48,16.88,15.73,0.168,0.618,3.06,1.012,0.612,3.5,0.826,5.0,90.0,63.3,30.0,2.02,0.061,-6.61,12.0,20.29,9.76,2.76,100.0,91.7,60.0,-35.18,1.256,0.422,0.945,-3.53,14.58,5.13,0.002,0.967,1.0,74.174,63.03,32.2,68.26,46.052,1.0,8962.36,707
M_360E,360 ONE Flexicap Fund,43,57.08,1114,Flexi Cap Fund,6.71,18.27,,0.145,0.812,5.47,0.989,1.102,5.32,0.616,3.0,74.1,40.7,27.0,3.17,0.244,-3.75,11.0,7.55,3.85,5.03,100.0,57.1,14.0,-16.56,1.975,0.572,0.956,0.0,16.8,4.9,0.003,0.974,1.0,38.196,60.632,59.083,83.6,80.672,0.97,2118.85,160
M_HDCUI,HDFC Multi Cap Fund,44,56.8,1681,Multi Cap Fund,-0.63,14.7,,0.148,0.552,5.59,1.015,1.564,4.38,0.616,4.0,80.0,28.6,30.0,4.94,0.335,0.7,11.0,18.38,7.89,2.13,82.9,62.9,35.0,-20.13,1.255,0.471,0.927,-4.5,14.92,3.61,0.002,0.951,1.0,53.652,57.472,68.354,65.417,50.378,0.97,20216.88,241
M_TAQY,Tata Value Fund,45,55.92,4943,Value Fund,0.41,14.26,15.48,0.158,0.49,3.95,0.936,0.62,3.28,0.782,5.0,63.3,43.3,30.0,2.72,0.231,1.72,9.0,17.79,9.81,1.43,83.3,58.3,60.0,-33.07,1.012,0.467,1.07,-6.61,15.13,5.69,0.002,0.962,1.0,56.435,44.293,58.692,73.385,56.079,1.0,8341.71,707
M_UNMI,Union Multicap Fund,46,55.49,1303,Multi Cap Fund,9.45,16.34,,0.142,0.692,4.29,0.987,0.8,4.2,0.712,3.0,93.3,26.7,30.0,3.7,0.051,-13.28,11.0,11.27,8.44,8.3,100.0,57.1,21.0,-19.38,1.802,0.557,0.95,0.0,16.38,5.25,0.002,0.888,1.0,54.891,58.088,48.261,51.155,78.264,0.97,1420.1,187
M_QUTT,Quant Focused Fund,47,55.02,4936,Focused Fund,9.56,15.31,14.75,0.168,0.525,4.84,0.907,0.479,3.36,0.633,5.0,43.3,12.0,30.0,3.72,0.23,-0.42,9.0,16.47,7.49,5.73,75.0,61.7,60.0,-30.49,1.179,0.48,1.033,-1.65,15.78,8.81,0.004,0.963,1.0,50.087,28.83,65.945,85.902,65.944,1.0,840.38,706
M_SBICO,SBI Contra Fund,48,54.13,4943,Contra Fund,-1.79,13.5,16.82,0.152,0.462,3.23,0.898,0.462,4.21,0.607,5.0,56.7,33.3,30.0,2.87,0.206,3.39,17.0,24.33,16.02,0.74,93.3,76.7,60.0,-40.88,0.728,0.445,0.945,-5.78,14.26,5.56,0.002,0.979,0.964,73.435,40.709,44.2,72.299,38.322,1.0,47361.68,707
M_KOSN,Kotak Flexicap Fund,49,54.03,4943,Flexi Cap Fund,1.86,13.77,12.68,0.153,0.475,3.31,0.941,0.796,1.49,0.949,5.0,100.0,46.7,30.0,2.21,0.23,3.56,12.0,14.92,10.03,5.04,73.3,31.7,60.0,-33.87,1.16,0.465,1.08,-1.89,14.61,3.68,0.001,0.973,0.951,49.261,59.055,51.012,58.104,58.121,1.0,55850.29,707
M_CAVO,Canara Rob Value Fund,50,53.96,1779,Value Fund,-1.22,12.84,,0.135,0.47,4.46,0.921,1.148,3.51,0.674,4.0,66.7,38.9,30.0,3.44,0.37,10.55,11.0,19.69,7.99,1.77,89.5,44.7,38.0,-18.92,1.102,0.469,0.872,-5.22,13.62,3.6,0.002,0.969,1.0,55.783,49.784,66.156,70.161,38.086,0.97,1272.22,255
M_BAMU,Baroda BNP Paribas Multi Cap Fund,51,53.89,4943,Multi Cap Fund,4.6,16.29,15.4,0.158,0.618,2.5,0.963,0.506,3.87,0.965,5.0,80.0,63.3,30.0,1.47,0.065,-3.58,13.0,18.09,9.52,4.02,96.7,75.0,60.0,-30.59,1.325,0.417,1.034,-0.69,13.85,4.47,0.001,0.973,1.0,66.304,58.776,29.182,62.432,54.095,1.0,3339.44,707
M_QUNC,Quant Multi Cap Fund,52,52.43,4936,Multi Cap Fund,5.9,12.56,13.45,0.174,0.348,5.95,0.95,0.637,2.08,0.557,5.0,33.3,12.0,30.0,5.27,0.304,-0.73,9.0,18.35,7.65,2.11,68.3,55.0,60.0,-30.98,0.755,0.503,1.068,-6.28,17.07,8.81,0.005,0.922,1.0,48.326,23.568,71.4,69.383,62.595,1.0,7663.81,706
M_JMUU,JM Flexicap Fund,53,52.28,4943,Flexi Cap Fund,1.53,16.94,17.74,0.169,0.616,4.01,1.005,0.691,4.2,0.448,5.0,53.3,46.7,30.0,1.78,0.16,-3.92,13.0,21.47,10.96,-0.92,83.3,68.3,60.0,-31.61,1.262,0.445,1.199,-8.34,15.46,5.85,0.002,0.934,1.0,64.261,49.075,31.236,59.128,60.745,1.0,5068.7,707
M_EDWU,Edelweiss Flexi Cap Fund,54,51.89,4180,Flexi Cap Fund,3.82,15.83,14.57,0.157,0.594,3.26,0.952,0.698,2.83,0.924,5.0,100.0,0.0,30.0,1.81,0.078,-5.95,13.0,18.08,10.85,4.24,100.0,85.0,60.0,-31.66,1.312,0.414,0.91,-2.84,13.5,4.3,0.001,0.97,1.0,73.804,48.339,28.974,65.17,39.554,1.0,3483.69,598
M_HSMY,HSBC Flexi Cap Fund,55,51.88,4943,Flexi Cap Fund,4.0,16.56,14.36,0.168,0.6,2.36,1.022,0.559,3.1,0.839,5.0,93.3,86.7,30.0,1.78,0.075,-3.8,12.0,15.23,8.4,5.76,81.7,51.7,60.0,-35.23,1.24,0.405,0.934,0.0,13.95,4.48,0.001,0.965,1.0,49.696,68.346,37.995,58.837,48.771,1.0,5633.43,707
M_OLDD,Old Bridge Focused Fund,56,50.99,904,Focused Fund,10.57,,,0.162,0.251,5.17,0.982,0.667,7.37,0.868,2.0,80.0,41.7,20.0,3.11,0.431,11.5,11.0,7.31,6.5,8.69,100.0,100.0,7.0,-18.56,0.589,0.373,1.076,-0.66,12.35,7.7,0.004,0.946,1.0,50.5,62.541,69.278,75.251,37.182,0.88,3669.65,130
M_UNOY,Union Value Fund,57,50.4,2780,Value Fund,2.76,15.12,14.91,0.165,0.521,2.68,0.953,0.527,3.49,0.974,5.0,96.7,,30.0,2.46,0.349,10.24,9.0,16.78,9.79,5.16,100.0,63.3,60.0,-32.95,1.302,0.456,0.947,-0.79,14.95,4.4,0.001,0.958,1.0,68.022,0.0,69.23,55.232,56.971,1.0,393.65,398
M_ADTFU,Aditya Birla SL Focused Fund,58,50.26,4943,Focused Fund,4.56,14.23,12.82,0.151,0.51,2.29,0.932,0.499,1.97,0.953,5.0,100.0,63.3,30.0,1.4,0.224,6.7,11.0,15.0,9.4,5.07,55.0,28.3,60.0,-32.65,1.219,0.437,1.112,-2.77,13.54,3.69,0.001,0.946,1.0,43.891,61.659,48.514,46.705,51.305,1.0,7731.62,707
M_CAML,Canara Rob Multi Cap Fund,59,50.24,1086,Multi Cap Fund,2.78,,,0.142,-0.261,4.16,0.976,0.963,3.87,0.728,2.0,100.0,7.7,26.0,3.34,0.227,0.32,11.0,6.76,5.17,5.13,100.0,100.0,13.0,-18.32,-0.681,0.515,0.929,-0.32,14.74,4.19,0.002,0.893,1.0,44.326,58.568,60.539,46.798,46.7,0.97,5500.41,156
